league_id, league_name, league_name_ko, logo_url
39, Premier League, 잉글랜드 프리미어 리그, https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Premier_League_Logo.svg/3840px-Premier_League_Logo.svg.png
40, EFL Championship, EFL 챔피언십,
41, EFL League One, EFL 리그 원,
42, EFL League Two, EFL 리그 투,
43, National League, 내셔널 리그, https://upload.wikimedia.org/wikipedia/commons/a/a0/Enterprise-National-League-Colour-Badged.png
50, National League North, 내셔널 리그 노스, https://upload.wikimedia.org/wikipedia/commons/e/e0/Enterprise-National-League-North-Colour-Badged.png
51, National League South, 내셔널 리그 사우스, https://upload.wikimedia.org/wikipedia/commons/c/cc/Enterprise-National-League-South-Colour-Badged.png
984, National League North Playoffs, 내셔널 리그 노스 승격 플레이오프, https://upload.wikimedia.org/wikipedia/commons/e/e0/Enterprise-National-League-North-Colour-Badged.png
985, National League South Playoffs, 내셔널 리그 사우스 승격 플레이오프, https://upload.wikimedia.org/wikipedia/commons/c/cc/Enterprise-National-League-South-Colour-Badged.png
45, FA Cup, FA 컵
48, EFL Cup, EFL 컵
47, FA Trophy, FA 트로피
46, EFL Trophy, EFL 트로피
528, Community Shield, 커뮤니티 실드
140, La Liga, 프리메라리가
141, Segunda División, 세군다 디비시온
143, Copa del Rey, 코파 델 레이
556, Supercopa de España, 수페르코파 데 에스파냐
135, Serie A, 세리에 A
136, Serie B, 세리에 B
137, Coppa Italia, 코파 이탈리아
547, Supercoppa Italiana, 수페르코파 이탈리아나
78, Bundesliga, 분데스리가
79, 2. Bundesliga, 2. 분데스리가
81, DFB-Pokal, DFB-포칼
529, Franz Beckenbauer Supercup, 프란츠 베켄바워 슈퍼컵
61, Ligue 1, 리그 1
62, Ligue 2, 리그 2
66, Coupe de France, 쿠프 드 프랑스
526, Trophée des Champions, 트로페 데 샹피옹
235, Premier League, 러시아 프리미어 리그
236, First League, 러시아 퍼스트 리그, https://i.namu.wiki/i/vv-vdfrHnljtll1NxMlVXpZmVqX9AbPs-EpR-Ly9CGYOrZUqvulnDtxPRwWR3wNMbrQjCf5QZAvaERFZPFP-_H9LzWpqrjZ_jSZkoMWrtMrx-hROxkJMOkrlfOTYkeeyz6WuBrXL4R1yZrdX0uiFBw.svg
1025, Russian Second League Division A Group Gold, 러시아 퍼스트 리그 디비전 A 금 그룹
1026, Russian Second League Division A Group Silver, 러시아 퍼스트 리그 디비전 A 은 그룹
651, Russian Second League Division B Group 1, 러시아 세컨드 리그 디비전 B 그룹 1
652, Russian Second League Division B Group 2, 러시아 세컨드 리그 디비전 B 그룹 2
650, Russian Second League Division B Group 3, 러시아 세컨드 리그 디비전 B 그룹 3
653, Russian Second League Division B Group 4, 러시아 세컨드 리그 디비전 B 그룹 4
237, Kubok Rossii, 러시아 컵, https://upload.wikimedia.org/wikipedia/ru/8/8a/Fonbet_Russian_Cup.png
633, Super Cup, 러시아 슈퍼컵
294, Korea Cup, 코리아 컵, https://i.namu.wiki/i/JJTVB6lmLfaiVmhbyss1vSa0DnXlpZkBXPnAIxOPSRCqkidyl1dL55EMmXY0uoebmaRy4PU9VyD0vYDxq8jiNmoEN_rSWZWHSIKOo40Gq6VMWS-W93TGYCz-mBV3Eyvt6cw4NUdXMYDovQtK5HZu9Q.svg
292, K League 1, K리그1, https://i.namu.wiki/i/z-qVLkPL4D7IYA2jpi2kkTuKKnl-tfpxlnHEi311Rh--PawcgsKihZnpX8dbpboYCmfG4-TYtIELyzoFv_oaoPR2_IWqNI5VuMdjb2EogTEnf4UtHxslNCtO-yB_7BcpRfmGb_VfofqgjRjTM9ohLw.svg
293, K League 2, K리그2, https://i.namu.wiki/i/5lZXpO3WE95Vx5YcG83N6LMqBJT9l4w9y_-CfJ121RJD5bVkCibt3jzAHAzZ4UGfLXTIncBGjGcu8NuGe-OklIyk0CIH_oHlbMbfLOfUZj4MyoMT8Gc6TfSrsyC5kpDWlaup8VuQyVxrYcrMRuPc7g.svg
295, K3 League, K3리그, https://i.namu.wiki/i/qnTEwSYkVTKPAGyVUhzk7k-EnF1b8V1zxFcXlBCHtqbPaxhhcsmaUpIzDIogtLOHTt_MNKoJ7KNokEf_0_JgUafwuhrd_Vju3KdvGS2XdPAlDbUdNR8xhUGXE3oJ2QZd2CLoBRtJGQZO2Iw4qDu2HQ.svg
102, Emperor Cup, 일왕컵
101, J-League Cup, J리그 컵
98, J1 League, J1리그
99, J2 League, J2리그
100, J3 League, J3리그
548, Super Cup, 일본 슈퍼컵
15, FIFA Club World Cup, FIFA 클럽 월드컵
1168, FIFA Intercontinental Cup, FIFA 인터컨티넨탈 컵
1217, FIFA Women's Champions Cup, FIFA 위민스 챔피언스 컵
1222, FIFA Series, FIFA 시리즈
4, Euro Championship, UEFA 유러피언 챔피언십
960, Euro Championship - Qualification, 유로 예선
848, UEFA Europa Conference League, UEFA 컨퍼런스 리그
3, UEFA Europa League, UEFA 유로파 리그
2, UEFA Champions League, UEFA 챔피언스 리그
525, UEFA Champions League Women, UEFA 여자 챔피언스 리그
743, UEFA Championship - Women, 여자 유로
1191, UEFA Women's Europa Cup, UEFA 위민스 유로파 컵
5, UEFA Nations League, UEFA 네이션스 리그,
1040, UEFA Nations League - Women, UEFA 여자 네이션스 리그,
531, UEFA Super Cup, UEFA 슈퍼 컵,
38, UEFA U21 Championship, U-21 유로
1132, AFC Challenge League, AFC 챌린지 리그
17, AFC Champions League, AFC 챔피언스 리그 엘리트, https://i.namu.wiki/i/OnbZNdJTiJaxdfDkWmKPbLqfzR59kKg-qj5FsYEySN44d9cZ5AHSqXy89BI-9PDr6_JFoHyRd8amR_FybLKMpA.svg
18, AFC Champions League 2, AFC 챔피언스 리그 2, https://i.namu.wiki/i/4R-Byc46mWyD_vsgcZAdWS8T536o306ncMt1J7bFKh6hlDRFhvfCW5eGiOLwjTDpE9yXGx3J9yFy153RcV9-fb7Bzcmqt5jLVntouHU6OO9OkW7neb74zduUm89vxQefnnrI8H4vTGZWxBvuOY4OcA.svg
532, AFC U23 Asian Cup, U-23 아시안컵
952, AFC U23 Asian Cup - Qualification, U-23 아시안컵 예선
