referee_name, referee_country, name_ko
A. Taylor, England, 앤서니 테일러
Anthony Taylor, England, 앤서니 테일러
C. Turpin, France, 클레망 튀르팽
C. Kavanagh, England, 크리스 카바나
S. Barrott, England, 샘 배럿
S. Attwell, England, 스튜어트 애트웰
Michael Oliver, England, 마이클 올리버
M. Oliver, England, 마이클 올리버
José María Sánchez Martínez, Spain, 호세 마리아 산체스 마르티네스
Gavin Ward, England, 개빈 워드
Adam Herczeg, England, 아담 헤르체그
S. Karasev,Russia, 세르게이 카라쇼프
E. Kukulyak,Russia, 예브게니 쿠쿨랴크
P. Tierney,England, 폴 티어니
J. Gillett,Australia, 제러드 질레트
D. England,England, 대런 잉글랜드
A. Madley,England, 앤디 매들리
Craig Pawson, England, 크레이그 포슨
C. Pawson, England, 크레이그 포슨
Kevin Friend, England, 케빈 프렌드
D. Coote, England, 데이비드 쿠트
R. Jones, England, 로버트 존스
S. Hooper, England, 사이먼 후퍼
Simon Hooper, England, 사이먼 후퍼
Andre Marriner, England, 안드레 마리너
Mike Dean, England, 마이크 딘
Peter Bankes, England, 피터 뱅크스
