team_id,team_name,ko_name,ko_name_short,primary_color_override,number_color_override
621,FC Krasnodar,크라스노다르,,004a22,ffffff
4,Russia,러시아,,e31f2b,ffffff
33,Manchester United,맨체스터 유나이티드, 맨유,da020e,ffe500
50,Manchester City,맨체스터 시티, 맨시티,a4cdee,00285e
645,Galatasaray,갈라타사라이,,fbba00,a90a2e
1113,Bosnia & Herzegovina,보스니아 헤르체고비나, 보스니아,002395,fac800
768,Italy,이탈리아,,0052b3,ffffff
40,Liverpool,리버풀,,c8102e,ffffff
47,Tottenham,토트넘 홋스퍼, 토트넘,ffffff,0b1c56
34,Newcastle,뉴캐슬 유나이티드, 뉴캐슬,000000,ffffff
35,Bournemouth,본머스,,d2151b,ffffff
36,Fulham,풀럼,,000000,ffffff
39,Wolves,울버햄튼 원더러스, 울브스,fdb913,000000
42,Arsenal,아스날,,ef0107,ffffff
44,Burnley,번리,,5f0041,ffffff
45,Everton,에버튼,,274488,ffffff
48,West Ham,웨스트햄 유나이티드, 웨스트햄,7c2c3b,ffffff
49,Chelsea,첼시,,034694,ffffff
51,Brighton and Hove Albion,브라이튼 앤 호브 알비온, 브라이튼,0054a5,ffffff
52,Crystal Palace,크리스탈 팰리스, 팰리스,1b458f,ffffff
55,Brentford,브렌트포드,,e30613,ffffff
63,Leeds,리즈 유나이티드, 리즈,ffffff,0060a9
65,Nottingham Forest,노팅엄 포레스트, 포레스트,c8102e,ffffff
66,Aston Villa,아스톤 빌라, 빌라,480024,ffffff
746,Sunderland, 선덜랜드,,eb172b,ffffff
529,Barcelona,바르셀로나,,a50044,ffffff
530,Atletico Madrid,아틀레티코 마드리드, 아틀레티,e8151e,ffffff
531,Athletic Club,아틀레틱 클루브, 빌바오,ee2523,ffffff
532,Valencia,발렌시아,,ffffff,ff671f
533,Villarreal,비야레알,,ffe667,005187
536,Sevilla,세비야,,ffffff,eb2626
538,Celta Vigo,셀타 비고, 셀타,6cace4,ffffff
539,Levante,레반테,,005ca5,ffffff
540,Espanyol,에스파뇰,,1e6bc0,ffffff
541,Real Madrid,레알 마드리드,,ffffff,fcaf17
542,Alaves,알라베스,,0232a0,ffffff
543,Real Betis,레알 베티스, 베티스,009655,ffffff
546,Getafe,헤타페,,0065ac,ffffff
547,Girona,지로나,
548,Real Sociedad,레알 소시에다드, 소시에다드,2151af,ffffff
718,Oviedo,레알 오비에도, 오비에도
727,Osasuna,오사수나,,14213d,ffffff
728,Rayo Vallecano,라요 바예카노, 라요,ffffff,e53027
797,Elche,엘체,,ffffff,05642c
798,Mallorca,마요르카,
2745,Bucheon FC 1995, 부천,,ac2424,ffffff
2746,Gangwon FC, 강원,,dc5310,ffffff
2748,FC Anyang, 안양,,4b237a,ffffff
2750,Daejeon Citizen, 대전 하나 시티즌, 대전,007d6f,ffffff
2759,Gwangju FC, 광주,,ffb91d,9c2130
2761,Jeju United FC, 제주,,ee7501,ffffff
2762,Jeonbuk Motors, 전북 현대 모터스, 전북,034f36,ffdd00
2763,Incheon United, 인천 유나이티드, 인천,00509e,ffffff
2764,Pohang Steelers, 포항 스틸러스, 포항,ad0713,ffffff
2766,FC Seoul, FC 서울,,b5191a,ffffff
2767,Ulsan Hyundai FC, 울산 HD,,013f8a,ffffff
2768,Gimcheon Sangmu FC, 김천 상무, 김천,b91d22,ffffff
2747,Daegu FC, 대구,,a0d2f2,ffffff
2749,Seoul E-Land FC, 서울 이랜드,,000430,ecbd81
2751,Gyeongnam FC, 경남,,a92324,ffffff
2752,Busan I Park, 부산 아이파크, 부산,ca1529,ffffff
2753,Chungnam Asan, 충남 아산,,244694,ffffff
2756,Suwon City FC, 수원 FC,,003a70,ffffff
2757,Seongnam FC, 성남,,000000,ffffff
2758,Ansan Greeners, 안산 그리너스, 안산,0b936c,00263d
2760,Jeonnam Dragons, 전남 드래곤즈, 전남,ffde00,000000
2765,Suwon Bluewings, 수원 삼성 블루윙즈, 수원 삼성,0058a7,ffffff
7060,Cheonan City, 천안,,5fb4e5,000000
7061,Chungbuk Cheongju, 충북 청주,,1c235a,ffffff
7076,Gimhae FC 2008, 김해,,c40317,ffffff
7078,Gimpo Citizen, 김포,,213d40,ffffff
7087,Hwaseong, 화성,,e74e0f,ffffff
7098,Paju Frontier, 파주 프런티어, 파주,233c98,ffffff
9171,Yongin City, 용인,,af0940,43c5ee
555,CSKA Moscow, CSKA 모스크바, CSKA,e51133,ffffff
558,Spartak Moscow, 스파르타크 모스크바, 스파르타크 Mc.,c9072a,ffffff
596,Zenit St. Petersburg, 제니트 상트페테르부르크, 제니트,0097db,ffffff
597,Lokomotiv Moscow, 로코모티프 모스크바, 로코모티프 Mc.,094422,ffffff
779,Rostov, 로스토프,,0c4da2,fff100
1079,Krylia Sovetov Samara,크릴리야 소베토프 사마라, 크릴리야 소베토프,064893,ffffff
1080,Orenburg,오렌부르크,,001d59,ffffff
1083,Rubin Kazan,루빈 카잔, 루빈 Kz.,801831,ffffff
1085,Akhmat Grozny,아흐마트 그로즈니, 아흐마트,00904f,ffffff
1088,Dynamo Moscow,디나모 모스크바, 디나모 Mc.,1e4faa,ffffff
2006,Baltika Kaliningrad,발티카 칼리닌그라드, 발티카,04539e,ffffff
2011,Nizhny Novgorod,니즈니 노브고로드, NN,00316a,ffffff
2012,PFC Sochi,소치,,ffffff,002c4e
6786,Akron Tolyatti,아크론 톨리야티, 아크론,ff0000,ffffff
6813,Dinamo Makhachkala,디나모 마하치칼라, 디나모 Mkh.,1206a5,ffffff
665,Irtysh Omsk,이르티시 옴스크, 이르티시 O.
1076,Amkar Prem,암카르 페름, 암카르
1077,Arsenal Tula,아르세날 툴라, 아르세날 Tl.,ee141f,ffffff
1078,Ufa,우파,,addec7,2d1044
1084,Ural Yekaterinburg,우랄 예카테린부르크, 우랄,ff6600,000000
1087,Ska-Khabarovsk,SKA 하바롭스크, SKA,00338d,ffffff
1089,Enisey Krasnoyarsk,예니세이 크라스노야르스크, 예니세이,ef0a02,ffffff
1993,Fakel Voronezh,파켈 보로네시, 파켈,0047b1,ffffff
1995,Sokol Saratov,소콜 사라토프, 소콜
1998,Shinnik Yaroslavl,신니크 야로슬라블, 신니크,0033aa,ffffff
2000,Tyumen,튜멘,
2001,Neftekhimik Nizhnekamsk,네프테히미크 니즈네캄스크, 네프테히미크,2a5528,ffffff
2002,Spartak Nalchik,스파르타크 날치크, 스파르타크 Nl.
2004,Volgar Astrakhan,볼가리 아스트라한, 볼가리
2009,Avangard Kursk,아반가르트 쿠르스크, 아반가르트
2010,Rotor Volgograd,로토르 볼고그라드, 로토르,76c5f0,ffffff
2014,Chertanovo Moscow,체르타노보 모스크바, 체르타노보
3983,Chayka Peschanokopskoye,차이카 페스차노콥스코예, 차이카
3984,Tekstilshchik Ivanovo,텍스틸시크 이바노보, 텍스틸시크,e31e23,000000
3985,Torpedo Moskva,토르페도 모스크바, 토르페도 Mc.,000000,ffffff
6787,Alania Vladikavkaz,알라니야 블라디캅카스, 알라니야
6790,Chelyabinsk,첼랴빈스크,,01b6e9,ffffff
6791,Chernomorets Novorossiysk,체르노모레츠 노보로시스크, 체르노모레츠
