venue_id,venue_name,venue_city,venue_name_ko,city_name_ko
550, Anfield, Liverpool, 안필드, 리버풀
, Bilino Polje, Zenica, 빌리노 폴레, 제니차
556,Old Trafford,Manchester,,
562,St. James' Park,Newcastle upon Tyne,,
504,Vitality Stadium,"Bournemouth, Dorset",,
535,Craven Cottage,London,,
600,Molineux Stadium,"Wolverhampton, West Midlands",,
494,Emirates Stadium,London,,
512,Turf Moor,Burnley,,
22033,Hill Dickinson Stadium,"Liverpool, Merseyside",,
593,Tottenham Hotspur Stadium,London,,
598,London Stadium,London,,
519,Stamford Bridge,London,,
555,Etihad Stadium,Manchester,,
508,American Express Stadium,"Falmer, East Sussex",,
525,Selhurst Park,London,,
10503,Gtech Community Stadium,"Brentford, Middlesex",,
546,Elland Road,"Leeds, West Yorkshire",,
566,The City Ground,"Nottingham, Nottinghamshire",,
495,Villa Park,Birmingham,,
589,Stadium of Light,Sunderland,,
